place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
792,603534,"Army vs. Albany vs. St. John's, Military Academy Shea Stadium, West Point, NY",USA,23 APR 2021,23 APR 2021,0,,65290,790,65290,https://worldathletics.org/records/competition-performance-rankings/ranking/603534
793,603657,"4e Meeting Interclubs, Yaoundé",CMR,17 APR 2021,18 APR 2021,10,637,65243,793,65253,https://worldathletics.org/records/competition-performance-rankings/ranking/603657
794,607361,"Cascade Conference Championships, Banner Bank Track, La Grande, OR",USA,14 MAY 2021,15 MAY 2021,0,,65241,794,65241,https://worldathletics.org/records/competition-performance-rankings/ranking/607361
795,604039,"Kvalifikacije Atletskega Pokala Slovenije, Mestni stadion, Ptuj",SLO,15 MAY 2021,16 MAY 2021,10,637,65222,795,65232,https://worldathletics.org/records/competition-performance-rankings/ranking/604039
796,603892,"Greek Interclub Ch. 3rd Group (Thessalonica), Kaftanzoglio warm-up track, Thessaloniki",GRE,08 MAY 2021,09 MAY 2021,15,588,65213,797,65228,https://worldathletics.org/records/competition-performance-rankings/ranking/603892
797,604411,"City of Lisburn Senior Invitation Only Competition, Mary Peters Track, Belfast",GBR,22 MAY 2021,22 MAY 2021,15,588,65210,798,65225,https://worldathletics.org/records/competition-performance-rankings/ranking/604411
798,603427,"AAC Outdoor Championships, Columbia International University, Columbia, SC",USA,22 APR 2021,23 APR 2021,0,,65220,796,65220,https://worldathletics.org/records/competition-performance-rankings/ranking/603427
799,602700,"Bankstown Invitational, The Crest Athletics Centre, Bankstown, Sydney",AUS,27 MAR 2021,27 MAR 2021,15,588,65203,800,65218,https://worldathletics.org/records/competition-performance-rankings/ranking/602700
799,603619,"1st Class Competition, Municipal Mizuho Stadium, Nagoya",JPN,03 APR 2021,04 APR 2021,10,637,65208,799,65218,https://worldathletics.org/records/competition-performance-rankings/ranking/603619
801,602732,"The Adidas Trojan Challenge, Ray McDonald, Sr., Track Complex, Mount Olive, NC",USA,26 MAR 2021,27 MAR 2021,0,,65171,801,65171,https://worldathletics.org/records/competition-performance-rankings/ranking/602732
802,602825,"National Cup, Kaohsiung",TPE,24 FEB 2021,28 FEB 2021,140,252,64996,808,65136,https://worldathletics.org/records/competition-performance-rankings/ranking/602825
803,604270,"U18-Vergleichskampf BW-BY-HE, Donaustadion, Ulm",GER,22 MAY 2021,22 MAY 2021,0,,65115,802,65115,https://worldathletics.org/records/competition-performance-rankings/ranking/604270
804,605027,"Marskin kisat, Kimpisen yleisurheilukenttä, Lappeenranta",FIN,22 JUN 2021,22 JUN 2021,60,368,65019,803,65079,https://worldathletics.org/records/competition-performance-rankings/ranking/605027
805,602729,"Bob Larsen Track Meet, Drake Stadium, Los Angeles, CA",USA,27 MAR 2021,27 MAR 2021,0,,65018,804,65018,https://worldathletics.org/records/competition-performance-rankings/ranking/602729
806,607352,"NCC Gregory Final Qualifier, Benedetti-Wehrli Stadium - Jay & Dot Buikema Track, Naperville, IL",USA,19 MAY 2021,20 MAY 2021,0,,65010,805,65010,https://worldathletics.org/records/competition-performance-rankings/ranking/607352
807,602856,"Northeast Ohio Quad, WATTS, Youngstown, OH",USA,02 APR 2021,02 APR 2021,5,704,65001,807,65006,https://worldathletics.org/records/competition-performance-rankings/ranking/602856
